title,url,price_numeric,municipality,condition,ad_type,property_type,rooms,square_m2,equipment,level,heating,price_per_m2,latitude,longitude
Stan Apartman - [Iznajmljivanje],https://olx.ba/artikal/71698283,60.0,Sarajevo - Novi Grad,Novogradnja,Iznajmljivanje,Apartman,2.0,46.0,Namješten,7,Centralno (gradsko),1.3043478260869563,,
Stan Sarajevo - Novo Sarajevo - [Iznajmljivanje],https://olx.ba/artikal/71573692,80.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Apartman,2.0,62.0,Namješten,16,Centralno (gradsko),1.2903225806451613,43.850305,18.37447
Garaza - Nova Vogosca - 20 m2 - [Iznajmljivanje],https://olx.ba/artikal/70756410,100.0,Vogošća,Novogradnja,Iznajmljivanje,Stan,2.0,20.0,Namješten,-1,Centralno (Kotlovnica),5.0,43.901206,18.354117
Panorama View Apartman Bjelasnica (Rent) - [Iznajmljivanje],https://olx.ba/artikal/71554658,160.0,Trnovo,Novogradnja,Iznajmljivanje,Apartman,2.0,50.0,Namješten,0,Struja,3.2,43.714503,18.288786
Stanovi i apartmani Sarajevo - Novi Grad - [Iznajmljivanje],https://olx.ba/artikal/71474528,200.0,Sarajevo - Novi Grad,Dobro stanje,Iznajmljivanje,Apartman,1.0,30.0,Namješten,1,Centralno (Kotlovnica),6.666666666666667,43.800453,18.246421
"JAHORINA; prodaja apartmana u novogradnji, 34m2",https://olx.ba/artikal/71359171,220000.0,Trnovo,Novogradnja,Prodaja,Apartman,2.0,34.0,Nenamješten,3,Centralno (Kotlovnica),6470.588235294118,,
Garsonjera Sarajevo Sobe Stan {molim čitaj rubriku DETALJAN OPIS} - [Iznajmljivanje],https://olx.ba/artikal/41725027,250.0,Sarajevo - Centar,Renoviran,Iznajmljivanje,Stan,,30.0,Namješten,2,Centralno (Plin),8.333333333333334,,
Dvosoban nenamješten stan u privatnoj kući/ Pofalići - [Iznajmljivanje],https://olx.ba/artikal/71709610,250.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,2.0,48.0,Nenamješten,0,Struja,5.208333333333333,43.858893,18.399583
Stan Sarajevo - Novi Grad 40m2 - [Iznajmljivanje],https://olx.ba/artikal/71443446,250.0,Sarajevo - Novi Grad,Dobro stanje,Iznajmljivanje,Stan,2.0,40.0,Namješten,0,Centralno (Kotlovnica),6.25,43.875628,18.315744
Stan Vogošća 15m2 iznajmljivanje - [Iznajmljivanje],https://olx.ba/artikal/71657945,260.0,Vogošća,Novogradnja,Iznajmljivanje,Stan,,15.0,Nenamješten,4,Struja,17.333333333333332,43.907517,18.34683
Potrazujem garsonjeru ili jednosoban stan - [Iznajmljivanje],https://olx.ba/artikal/71455854,300.0,Sarajevo - Novi Grad,Renoviran,Iznajmljivanje,Stan,,30.0,Namješten,2,Centralno (gradsko),10.0,,
100903 Dvosoban stan za najam 50m2 Centar - [Iznajmljivanje],https://olx.ba/artikal/70723825,300.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,2.0,50.0,Namješten,0,Struja,6.0,,
