title,url,price_numeric,municipality,rooms,square_m2,equipment,description,price_per_m2
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=518219,,,Dvosoban,82.0,"Garaža, Balkon, Centralno grijanje, Telefonski priključak, Struja, Lift, Klima, Internet, Video nadzor","Agencija za nekretnine Stanpromet.ba izdvaja prodaju trosobnog stana na 3. spratu zgrade Sarajevo Tower. Površina stana 81.80 m2 plus parking mjesto u zajedničkoj garaži. Po strukturi stan sa dvije spavaće sobe i dvije lođe. Radovi u predmetnom stanu su završeni a sadašnji vlasnik je dodatno doplatio kvalitetniji parket u stanu. Stan okrenut istočno. Cijena stana i garaže vrlo povoljna, sve druge detalje oko rokova useljenja, mogućnosti potpisa ugovora možete dobiti pozivom svom agentu. Stan nije korišten. Na našoj vrhunskoj prezentaciji možete odmah pronaći tlocrt stana, možete prošetati kroz stan u virtualnoj stvarnosti i pogledati sve detaljno. Stan i parking mjesto u zajedničkoj garaži se prodaju isključivo zajedno. Cijena stana 290.000 KM Cijena parkinga 35.000 KM U nastavku možete vidjeti naš 360° virtualni prikaz nekretnine. Certificirana agencija za nekretnine Stanpromet.ba Nekretnine Registarski broj posrednika 001/2022! Grbavička 8b, 71000 Sarajevo Agent Haris Kadić +387 62 801 801 agencija@stanpromet.ba ID CODE: 500979 Haris Kadić Agent s licencom Mob: 062801801 Tel: 033842555 E-mail: agencija@stanpromet.ba www.stanpromet.ba",
"Sarajevo, Sarajevo – Stari grad",https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=518506,339000.0,,Četverosoban,94.0,"Plin, Telefonski priključak, Struja, Namješten, Kablovska TV","Rental prodaje troiposoban salonski stan od 94 m2 u neposrednoj blizini Muzičke škole i katoličke Bogoslovije. Riječ je o ulici Josipa Štadlera, tihom sokaku na samo par minuta hoda od Katedrale, Baščaršije i svega onoga što pruža glavni grad Bosne i Hercegovine.Stan se nalazi na idealnom prvom spratu dobro održavane zgrade... Na inicijativu stanara nedavno je promijenjen čitav krov, dakle stavljene su nove grede i crep. A u stanu imamo hodnik sa predsobljem koje se bez ikakvih problema može pretvoriti i u radnu sobu sa izlazom na balkon, te tri međusobno povezane prostorije južne orijentacije sa grandioznim pogledom na Trebević i krovove Baščaršije. Sadašnji vlasnici su ih koncipirali tako da dvije prostorije budu spojena dnevna soba dok je u trećoj odvojena spavaća soba. No, novi vlasnici stana mogu taj raspored promijeniti i po svojoj volji namjestiti stan. Što samo govori da je za kreativne ljude ova nekretnina san snova! Iz treće prostorije u nizu, tj. spavaće sobe ulazimo u kupatilo no takođe do kupatila se može doći i kroz hodnik, te je pored kupatila odvojeni toalet i na kraju divna prostrana kuhinja. Dakle, u stanu sve cirkuliše! I što je najbitnije, nekretnina je kompletno renovirana, na podovima je kvalitetan parket, na prozorima drvena stolarija a namještena je najmodernijim kućanskim aparatima i tehnikom! Da ne zaboravimo da su u spavaćoj sobi instalirani moderni i veliki ugradbeni plakari. Grijanje u stanu može biti centralno etažno plinsko ili na strujni termo blok, po vašem izboru.Cijena ove nekretnine je 339.000 KM. Za više detalja te termine obilaska nekretnine pozovite Srđana na broj 061 662 444.",3606.382978723405
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=518550,333000.0,,Dvosoban,73.0,"Centralno grijanje, Telefonski priključak, Struja, Lift, Namješten, Klima, Internet","Realno, za ponudu najboljih nekretnina treba Vam najbolja agencija za nekretnine i najbolja prezentacija date nekretnine. Kako vidjeti sve detaljno, a da niste ograniceni vremenom ni situacijom, da mozete po 10 puta pogledati nekretninu koja Vas zanima a sve to na svom telefonu ili racunaru. Danas EKSKLUZIVNO nudimo vrhunski stan na Dolac Malti, zgrada Kifla. Smjesten na 8-om spratu zgrade sa dvostranom orijentacijom i sa dvije spavace sobe te prostranim i svijetlim dnevnim boravkom, a kao bonus tu je i odvojen wc plus kupatilo, sve renovirano i sredjeno a za grijanje tu je centralno gradsko grijanje sa gusanim radijatorima te za hladjenje moderna i funkcionalna klima. Nas virtualni obilazak na linku ispod nudi sve! Uvjerite se!!! Mr.Haris Kadić Menadžer prodaje, CEO - Realtor, ABR, SRS, stručno-osposobljeno lice za poslove posredovanja Registrovana agencija 001/2022 Stanpromet.ba - agencija za nekretnine Sarajevo, Grbavička 8b, 71000 Sarajevo M:+38762801801 ID CODE: 501810 Haris Kadić Agent s licencom Mob: 062801801 Tel: 033842555 E-mail: agencija@stanpromet.ba www.stanpromet.ba",4561.643835616438
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=518551,,,Dvosoban,81.0,"Garaža, Balkon, Centralno grijanje, Telefonski priključak, Struja, Lift, Klima, Internet, Video nadzor","Stanpromet.ba agencija za nekretnine najavljuje za prodaju stanove u novonapravljenoj zgradi na odličnoj lokacij Velika aleja, općina Ilidža, Ulica IV viteške brigade. Stan sa ponude vrhunski trosoban odličnog otvorenog pogleda dvostranom orijentacijom ,sastoji se od dvije spavaće sobe svaka sa vlastitim kupatilom , kupatilo, prostran dnevni boravak od 32m2 sa kuhinjom i trppezarijom, odlični veliki portali sa izlazom na balkon iz dnevne sobe. U ponudi stan na 1 spratu. Gradnja ovog stambenog objekta od 25 stanova je započela 2019. godine, a planirani rok završetka radova je decembar 2021. godine. Na njegovih prvih pet etaža nalazi se po pet stanova, kvadrature od 74 m² do 87,4 m², dok se na šestom spratu nalaze dva penthausa od 135,74 m² i 125,58 m². Napomena: Stanovi se prodaju po principu ""Ključ u ruke"", u cijenu uračunat PDV. Dostupnost stanova promjenjivog karaktera, za ažurnu informaciju pozovite agenta. Zgrada u kojoj su smješteni ovi vrhunski stanovi spratnosti 6 spratova, zgrada sa liftom i centralnim stubištem, svaki sprat broji 5 stambenih jedinica, potkrovlje 2 stana penthouse karaktera to jest ukupno 27 stanova, koncipiranih kao stanovi sa dvije spavaće sobe. Na prizemlju su projektovani poslovni prostori, ispred zgrade parking prostor., zgrada posjeduje garažna parking mjesta za prodaju. Karakteristika svih stanova jeste da pružaju sunčan i svijetao pogled. Raspored prostorija u svakom stanu je drugačiji i prilagođen veličini. Ono što ove stambene prostore čini dodatno privlačnim jeste da svaki od stanova ima tri kupatila. Materijali koji su korišteni za izgradnju se odlikuju čvrstoćom, pouzdanošću i termičkom otpornošću, a prilikom gradnje objekta posebno se vodilo računa o postizanju bolje akustičnosti zidova. Hrastovi masivni parket prve klase, ulazna protupožarna i protuprovalna vrata prve klase, unutrašnja vrata izrađena od punog drveta bukve ili hrasta, vanjska stolarija (6 ili 7 komora), tipa ALUPLAST i plinsko grijanje su samo neke od karakteristika koje upotpunjuju izvrsnost i kvalitet Green Residence stanova. Sa adresom u ulici Četvrte viteške brigade, Green Residence je vaša idealna prilika da postanete vlasnik pažljivo dizajniranog stana i da pametno investirate u novogradnju. Za sve kupce osigurana kreditna linija za kupovinu stanova . U nastavku možete pogledati detaljno naš 360° virtualni prikaz nekretnine. Za sve dodatne informacije o dostupnosti, spratovima ili načinima plaćanja kao i za termin obilaska ili pregleda stanova, objekta pozovite Vašeg agenta Stanpromet.ba - agencija za nekretnine Agenti prodaje 062830830 062801801 ID CODE: 501809 Hadis Kadić Agent s licencom Mob: 062830830 Tel: 033842555 E-mail: info@stanpromet.ba www.stanpromet.ba",
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=518552,,,Dvosoban,75.0,"Garaža, Balkon, Centralno grijanje, Telefonski priključak, Struja, Lift, Klima, Internet, Video nadzor","Stanpromet.ba agencija za nekretnine najavljuje za prodaju stanove u novonapravljenoj zgradi na odličnoj lokacij Velika aleja, općina Ilidža, Ulica IV viteške brigade. Stan sa ponude vrhunski trosoban odličnog otvorenog pogleda dvostranom orijentacijom ,sastoji se od dvije spavaće sobe svaka sa vlastitim kupatilom , kupatilo za goste, dnevni boravak sa kuhinjom i trpezarijom , odlični veliki portali sa izlazom na lođu iz dnevne sobe. U ponudi stan na 1 spratu. Gradnja ovog stambenog objekta od 25 stanova je započela 2019. godine, a planirani rok završetka radova je decembar 2021. godine. Na njegovih prvih pet etaža nalazi se po pet stanova, kvadrature od 74 m² do 87,4 m², dok se na šestom spratu nalaze dva penthausa od 135,74 m² i 125,58 m². Napomena: Stanovi se prodaju po principu ""Ključ u ruke"", u cijenu uračunat PDV. Dostupnost stanova promjenjivog karaktera, za ažurnu informaciju pozovite agenta. Zgrada u kojoj su smješteni ovi vrhunski stanovi spratnosti 6 spratova, zgrada sa liftom i centralnim stubištem, svaki sprat broji 5 stambenih jedinica, potkrovlje 2 stana penthouse karaktera to jest ukupno 27 stanova, koncipiranih kao stanovi sa dvije spavaće sobe. Na prizemlju su projektovani poslovni prostori, ispred zgrade parking prostor., zgrada posjeduje garažna parking mjesta za prodaju. Karakteristika svih stanova jeste da pružaju sunčan i svijetao pogled. Raspored prostorija u svakom stanu je drugačiji i prilagođen veličini. Ono što ove stambene prostore čini dodatno privlačnim jeste da svaki od stanova ima tri kupatila. Materijali koji su korišteni za izgradnju se odlikuju čvrstoćom, pouzdanošću i termičkom otpornošću, a prilikom gradnje objekta posebno se vodilo računa o postizanju bolje akustičnosti zidova. Hrastovi masivni parket prve klase, ulazna protupožarna i protuprovalna vrata prve klase, unutrašnja vrata izrađena od punog drveta bukve ili hrasta, vanjska stolarija (6 ili 7 komora), tipa ALUPLAST i plinsko grijanje su samo neke od karakteristika koje upotpunjuju izvrsnost i kvalitet Green Residence stanova. Sa adresom u ulici Četvrte viteške brigade, Green Residence je vaša idealna prilika da postanete vlasnik pažljivo dizajniranog stana i da pametno investirate u novogradnju. Za sve kupce osigurana kreditna linija za kupovinu stanova . U nastavku možete pogledati detaljno naš 360° virtualni prikaz nekretnine. Za sve dodatne informacije o dostupnosti, spratovima ili načinima plaćanja kao i za termin obilaska ili pregleda stanova, objekta pozovite Vašeg agenta Stanpromet.ba - agencija za nekretnine Agenti prodaje 062830830 062801801 ID CODE: 501808 Hadis Kadić Agent s licencom Mob: 062830830 Tel: 033842555 E-mail: info@stanpromet.ba www.stanpromet.ba",
"Sarajevo, Sarajevo – Centar",https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=519193,309000.0,,Trosoban,73.0,"Garaža, Parking","Ulica se, zanimljivo, zove Buka, ali s gradskom bukom to nema nikakve veze. Naprotiv, riječ je o vrlo mirnoj ulici, kroz koju, tu i tamo, prođe poneki automobil. Dakle, u toj mirnoj Buki, paralelno s Titovom i Ulicom Mehmeda Spahe, na idealan prvi sprat se smjestio divan i prostran, trosoban porodični stan. Redom, stan posjeduje blindo vrata, iza kojih je naravno hodnik. Slijede kupatilo i odvojeni toalet. Iz hodnika se lijevo ulazi u kuhinju s trpezarijom, a pravo u dnevni boravak, iz kojeg se ulazi u dvije spavaće sobe. Osunčan, svijetao, dvostrane orijentacije sjever-jug, u svom potpuno i kvalitetno renoviranom enterijeru, ovaj stan garantuje komforan i idiličan život. Stan je kompletno renoviran 2014 godine, kada su urađene vanjska i unutrašnja stolarija, utopljavanje, parket, keramika, strujna instalacija, vodo-instalacija, kupatilo i toalet, blindo vrata, kao i video i alarmni nadzor! Stan se prodaje polunamješten (po dogovoru i namješten), a u cijenu ulazi sve što je ugradbeno, poput kuhinje, kupatila, toaleta, američkih plakara, pa čak i jedan krevet u spavaćoj sobi. Ako sve nasbrojano nije dovoljno, treba napomenuti da stan posjeduje i podrum, koji je potpuno uređen i izgleda kao soba. Još jedna napomena. Uz stan je moguće dogovoriti i kupovinu GARAŽE, koja se nalazi preko puta, iza rampe, i u koju može stati SUV. Ne oklijevajte, jer vas ovaj stan neće dugo čekati. Pozovite našeg agenta Harisa na broj 063 142 100 i dogovorite obilazak! Vaša Rental porodica!",4232.876712328767
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=521299,265000.0,,Jednosoban,71.0,"Centralno grijanje, Struja, Podrum","Stanpromet.ba agencija za nekretnine najavljuje za prodaju austrougarski stan na idealnom prvom spratu zgrade u epicentru Sarajeva, Ul.Maršala Tita. Površinu 71 m2 čine veliki dnevni boravak, spavaća soba, kuhinja s trpezarijom, kupatilo i ulazni hodnik. Stan je u solidnom stanju budući da su postojeći vlasnici vršili tekuće održavanje. Potencijal nekretnine za potrebe stanovanja je mogućnost pravljenja dodatne spavaće sobe, dok u poslovnom smislu lokacija i spratnost daju za pravo reći da će kupovina biti stepenica više. Grijanje je etažno plinsko, pogled u pravcu Hastahane, a napominjemo da je u krugu od 200 metara zgrada Predsjedništva, SCC, BBI, Alipašina džamija... Agent Emin Canović Za sve druge informacije pozovite Stanpromet.ba - agencija za nekretnine Certificirana agencija za nekretnine Stanpromet.ba Nekretnine Registarski broj posrednika 001/2022! Grbavička 8b, 71000 Sarajevo +38762943330 agencija@stanpromet.ba ID CODE: 501823 Emin Canović Agent s licencom Mob: 062943330 Tel: 033842555 E-mail: emin.canovic@stanpromet.ba www.stanpromet.ba",3732.394366197183
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=522700,,,Trosoban,84.0,"Balkon, Telefonski priključak, Struja, Lift, Internet","Stanpromet.ba - agencija za nekretnine iz svoje ponude za prodaju izdvaja odličan troiposoban stan na četvrtom spratu zgrade vrhunske lokacije, ul. Envera Šehovića, Općina Novo Sarajevo. Stan je dvostrano orijentisan jug - zapad. Površinu stana 84 m2 čine ulazni hodnik, dnevni boravak, tri spavaće sobe, trpezarija, kuhinja, balkon. U blizini su javni prevoz, hitna pomoć, parkovi, škola, fakulteti, pošta, BH Telecom, restorani, kafići, pekara i mnogobrojni sadržaji... Za više informacija pozovite vašeg agenta za nekretnine! Certificirana agencija za nekretnine Stanpromet.ba Nekretnine Registarski broj posrednika 001/2022! Grbavička 8b, 71000 Sarajevo Stručno lice/agent za nekretnine Haris Kadić +387 62 801 801 agencija@stanpromet.ba ID CODE: 501825 Haris Kadić Agent s licencom Mob: 062801801 Tel: 033842555 E-mail: agencija@stanpromet.ba www.stanpromet.ba",
"Sarajevo, Sarajevo – Novi grad",https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=522839,119000.0,,Jednosoban,32.0,"Telefonski priključak, Struja, Kablovska TV","Rental prodaje garsonjeru od 32 m2 na Stupu u neposrednoj blizini Gazprom pumpe, u popularnom naselju Tibra 2. Riječ je o nekretnini zapadne orijentacije koja se nalazi na trinaestom, tj. posljednjem spratu dobro održavane novogradnje s liftom. Delimično namještena, s kompletnom kuhinjom i aparatima i divnim balkonom, ova nekretnina je idealna prilika za nekoga ko želi uživati u miru i tišini jednog modernog gradskog samoodrživog naselja. Dakle, sve što vam padne na pamet nalazi se odmah tu na par koraka... Apoteke, kafići, restorani, vrtići, škole, igrališta... Javni prijevoz, i autobuski i tramvajski. Na podovima u stanu je kvalitetan parket a na prozorima PVC stolarija. Kupatilo s tuš kabinom i veš mašinom, vrlo je komotno i prostrano. No ipak, veliki balkon i otvoren pogled koji se sa njega pruža je nešto što ovu nekretninu čini posebnom te je na taj način izdvaja od ostalih stanova u Tibrinim zgradama.Grijanje u stanu je centralno gradsko sa vlastitim kalolimetrom. A cijena iste iznosi 119.000 KM. Za više detalja te termina obilaska nekretnine pozovite Srđana na broj 061 662 444.",3718.75
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=523047,129900.0,,Jednosoban,36.0,"Centralno grijanje, Telefonski priključak, Struja, Lift, Internet","Stanpromet.ba agencija za nekretnine iz svoje ponude za prodaju izdvaja jedniposoban odličnog rasporeda površine 36m2 pozicioniran na 8. spratu nebodera u Hrasnom, ulica Trg Heroja, Općina Novo Sarajevo. Stan čine ulazni hodnik, dnevni boravak, kuhinja, spavaća soba(napravljena u prostoru trpezarije) i kupatilo. Nekretnina se prodaje nenamještena, te je uz opremanje useljiva uz kozmetičke prilagodbe. Stan je renoviran prije nekoliko godina Iako manje površine, prostor je full funkcionalan, zgrada posjeduje dva lifta, a orijentacija je južna. Grijanje je centralno gradsko. Zgrada je smještena u blizini kultne slastičarne Palma i stadiona Grbavica, a tu su i Vilsonovo šetalište, osnovne i srednje škole, vrtići, Veterinarski fakultet... Certificirana agencija za nekretnine Stanpromet.ba Nekretnine Registarski broj posrednika 001/2022! Grbavička 8b, 71000 Sarajevo Agent Emin Canović +38762943330 agencija@stanpromet.ba ID CODE: 501830 Emin Canović Agent s licencom Mob: 062943330 Tel: 033842555 E-mail: emin.canovic@stanpromet.ba www.stanpromet.ba",3608.3333333333335
